entity_id,contact_id,nom,titre,persona,score,detail
ENT-00297,CON-033995,Lea Rossi,COO,buyer,1.3195079107728942,clic email 06-26 (1.3195079107728942)
ENT-00297,CON-011974,Femke Meyer,Responsable Recrutement,champion,0.07535039553864473,commentaire LinkedIn 04-23 (0.009375000000000001) · clic email 05-17 (0.06597539553864473)
ENT-00202,CON-012162,Alexandre Navarro,Directeur RH,buyer,0.04478228098552524,clic email 04-23 (0.015625) · clic email 05-02 (0.02915728098552524)
ENT-14722,CON-029523,Julie Blanc,,sans_titre,1.8660659830736148,clic email 07-11 (1.8660659830736148)
ENT-14722,CON-047872,Sarah Leroy,Talent Acquisition Specialist,utilisateur,0.609375,clic email 04-23 (0.009375) · like LinkedIn 07-12 (0.6)
ENT-09351,CON-022076,Manon Bonnet,,sans_titre,0.5743491774985175,clic email 06-24 (0.5743491774985175)
ENT-09351,CON-057808,Chloe Roux,Directeur RH,buyer,0.015625,clic email 04-23 (0.015625)
ENT-09033,CON-040289,Sarah Rossi,HR Business Partner,champion,0.046651649576840384,clic email 05-12 (0.046651649576840384)
ENT-09033,CON-027325,Pablo Moreau,Talent Acquisition Specialist,utilisateur,0.007031249999999999,commentaire LinkedIn 04-23 (0.007031249999999999)
ENT-17147,CON-031238,Emma Fontaine,Head of Talent Acquisition,buyer,0.8431381682539448,clic email 04-23 (0.015625) · clic email 04-29 (0.023683071351724965) · commentaire LinkedIn 06-23 (0.8038300969022198)
ENT-15629,CON-053105,Nora Lambert,HRBP,champion,0.009375000000000001,commentaire LinkedIn 04-23 (0.009375000000000001)
ENT-17748,CON-057852,Nicolas Mercier,,sans_titre,0.03111040598552524,like LinkedIn 04-23 (0.001953125) · clic email 05-12 (0.02915728098552524)
ENT-12965,CON-073892,Pierre Meyer,People Ops Coordinator,utilisateur,1.0446606759553487,clic email 06-30 (1.0446606759553487)
ENT-12965,CON-027769,Jan Durand,Recruiter,utilisateur,0.7480616480069496,clic email 04-23 (0.009375) · clic email 06-25 (0.7386866480069496)
ENT-16700,CON-007349,Marta Visser,VP Human Resources,buyer,0.00390625,like LinkedIn 04-23 (0.00390625)
ENT-19177,CON-016049,Julie Roux,Chargee de recrutement,utilisateur,0.009375,clic email 04-23 (0.009375)
ENT-12832,CON-073703,Diego Blanc,HR Manager,champion,5.198415336679908,clic email 07-19 (5.198415336679908)
ENT-12832,CON-045018,Ines Petit,Talent Acquisition Specialist,utilisateur,0.00234375,like LinkedIn 04-23 (0.00234375)
ENT-03744,CON-017018,Benjamin Boyer,Head of Talent Acquisition,buyer,0.6597539553864471,clic email 06-16 (0.6597539553864471)
ENT-03744,CON-053681,Lea Bonnet,CHRO,buyer,0.015625,clic email 04-23 (0.015625)
ENT-09308,CON-010146,Guillaume Simon,Charge de recrutement,utilisateur,0.43363906871192853,clic email 04-23 (0.009375) · clic email 06-17 (0.4242640687119285)
ENT-02221,CON-039222,Julien Durand,HR Officer,utilisateur,0.6454078275217758,like LinkedIn 04-23 (0.00234375) · clic email 06-23 (0.6430640775217759)
ENT-16233,CON-008309,Nora Fournier,People Ops Manager,champion,0.009375000000000001,commentaire LinkedIn 04-23 (0.009375000000000001)
ENT-14515,CON-014129,Thomas Moreau,COO,buyer,0.01171875,commentaire LinkedIn 04-23 (0.01171875)
ENT-14395,CON-018260,Ines Ferrari,Chargee de recrutement,utilisateur,0.007031249999999999,commentaire LinkedIn 04-23 (0.007031249999999999)
ENT-14031,CON-009774,Chloe Lambert,Executive Assistant,bruit,0.0,clic email 04-23 (0.0)
ENT-11537,CON-002355,Ines Lambert,Head of Talent Acquisition,buyer,0.015625,clic email 04-23 (0.015625)
ENT-16122,CON-047801,Sanne Dubois,Recruiter,utilisateur,0.06621437124413991,clic email 04-23 (0.009375) · clic email 05-19 (0.056839371244139916)
ENT-16122,CON-047802,Pauline Bonnet,Talent Acquisition Manager,champion,0.021763764082403117,clic email 05-01 (0.021763764082403117)
ENT-13246,CON-071481,Bastien Muller,People Ops Coordinator,utilisateur,0.0923358310008687,clic email 05-26 (0.0923358310008687)
ENT-13246,CON-071482,Greta Rousseau,Executive Assistant,bruit,0.0,clic email 04-23 (0.0)
ENT-17042,CON-030610,Felix Simon,Chargee de recrutement,utilisateur,0.17230475324955527,clic email 06-04 (0.17230475324955527)
ENT-17042,CON-034524,Alexandre Roux,HR Intern,bruit,0.0,like LinkedIn 04-23 (0.0)
ENT-17239,CON-055860,Antoine Meyer,Responsable Recrutement,champion,0.0125,clic email 04-23 (0.0125)
ENT-09832,CON-007750,Florian Weber,,sans_titre,0.01653176549276262,like LinkedIn 04-23 (0.001953125) · clic email 05-02 (0.01457864049276262)
ENT-11586,CON-073040,Camille Simon,HRBP,champion,37.88169824537316,formulaire 07-18 (31.910287099537587) · clic email 07-21 (5.971411145835567)
ENT-11586,CON-077191,Ines Vincent,CHRO,buyer,15.669910139330234,clic email 07-20 (6.964404506368993) · /pricing 07-20 (8.705505632961241)
ENT-11586,CON-073041,Nora Michel,,sans_titre,3.7558150374989547,like LinkedIn 05-29 (0.023683071351724965) · clic email 07-21 (3.7321319661472296)
